Case_ID,Unit,Request,Clarification_Response,Safety,Information,Urgency,Trade,Override,Authority,Expected_Next_Action,Expected_Outcome,Escalation_Reason,Ground_Truth_Reason
GT-001,U2,"Hi, the kitchen faucet has a steady drip even when it's fully off. Not urgent but wanted to report it.","",Safe,Sufficient,Routine,Plumbing,None,Within,"Contact preferred plumber and proceed if repair remains within authority",ACT,"","Routine faucet leak with no safety indicators and within authority."
GT-002,U5,"There's a strong smell of gas in the kitchen. I noticed it about ten minutes ago and it's getting stronger.","",Unsafe,Sufficient,Emergency,Gas/Emergency,Safety,Emergency,"Take immediate protective action and notify owner",ACT+ESCALATE,Safety,"Credible gas hazard requires emergency mitigation and owner notification."
GT-003,U1,"The AC indoor unit is dripping a bit of water and there's a small puddle under it near the wall outlet. Otherwise it's running fine.","",Unsafe,Sufficient,Emergency,HVAC+Electrical,Safety,Emergency,"Take immediate protective action and arrange urgent professional assessment",ACT+ESCALATE,Safety,"Water in credible proximity to electrical equipment creates a safety concern."
GT-004,U4,"The central AC isn't cooling and there's water pooling in the drip tray.","Comfort Air diagnoses a failed condensate pump; replacement quote is $285.",Safe,Sufficient,Priority,HVAC,None,Exceeds,"Present $285 repair decision to owner with recommendation",ESCALATE,Authority,"Repair exceeds U4's $200 autonomous limit."
GT-005,U6,"There's water on the floor in the kitchen, I'm not sure where it's coming from.","It's coming from under the sink, near the garbage disposal. No outlets nearby, and it stops when I don't run the disposal.",Safe,Sufficient,Priority,Plumbing,None,Within,"Dispatch plumbing assessment and proceed within authority",ACT,"","One clarification round resolves source and safety; next action is within authority."
GT-006,U7,"There's a damp patch on the ceiling in the bedroom and it seems bigger than last week.","I don't know, it's just there. Can't see any leak. It was maybe there before too, not sure.",Uncertain,Insufficient,Priority,General/Assessment,Significant uncertainty,Unknown,"Escalate because one clarification round did not establish a safe next action",ESCALATE,Insufficient Information,"Decision-critical information remains insufficient after the permitted clarification round."
GT-007,U3,"The toilet is clogged again — this is the same one that's backed up before.","",Safe,Sufficient,Priority,Plumbing,Repeat failure,Within,"Present repeat-failure decision to owner rather than approving another routine clear",ESCALATE,Repeat Failure,"Same materially related failure mode has recurred and overrides low repair cost."
GT-008,U2,"HELP the kitchen is flooding!! water everywhere!!","A bowl overflowed in the sink; water is contained on the counter and floor, no active source remains, and the tenant has mopped it.",Safe,Sufficient,None,None,None,None,"Confirm no maintenance defect remains and close the case",CLOSE,"","Clarification shows a resolved accidental overflow with no outstanding maintenance need."
GT-009,U8,"The front door lock is being weird.","No response to: Can you still lock and secure the door?",Unknown,Insufficient,Priority,Locksmith,Safety uncertainty,Within,"Dispatch locksmith to confirm and secure the property",ACT,"","Silence leaves a security-critical question unresolved, so protective ACT replaces AWAITING."
GT-010,U1,"The bathroom sink is draining slowly and there's a musty smell. Also noticed the wall under the sink feels soft and there's some dark staining.","",Potential concern,Sufficient,Priority,Plumbing+Moisture,Scope change,Unknown,"Escalate for owner review and professional assessment of possible hidden moisture damage",ESCALATE,Scope Change,"Soft wall and dark staining establish that the issue exceeds a routine drain-clear scope."
GT-011,U1,"Bathroom extractor fan stopped working, no noise at all.","Repair quote is exactly $200.",Safe,Sufficient,Routine,Electrical,None,Within,"Dispatch BrightSpark and approve $200 repair",ACT,"","The $200 quote is exactly at U1's $200 autonomous limit, so it remains within authority."
GT-012,U4,"Garbage disposal humming but not spinning, won't turn.","Repair quote is $201.",Safe,Sufficient,Priority,Plumbing/Appliance,None,Exceeds,"Present $201 repair decision to owner",ESCALATE,Authority,"The $201 quote exceeds U4's $200 autonomous authority by $1 and therefore requires owner approval."
